cook_id,cook_first_name,cook_last_name,phone_number,date_of_birth,years_of_experience,position_rank,Image_id
1,Eloisa,Cronin,+16(8)7888166297,10/02/1973,5,Α΄ μάγειρας,48
2,Morton,Stroman,1-873-296-5613x40045,28/10/1994,3,Α΄ μάγειρας,70
3,Reinhold,Mosciski,603-358-7843,31/01/1993,3,Α΄ μάγειρας,61
4,Jennie,Sawayn,(447)866-2956x7558,15/04/1971,1,αρχιμάγειρας,67
5,Ana,Nienow,063.158.4210,21/03/1970,4,Α΄ μάγειρας,34
6,Bethel,Bartell,1-547-563-3007x499,18/05/1978,15,Γ΄ μάγειρας,63
7,Tyrel,Jacobson,(324)008-5682x05283,15/09/2003,9,αρχιμάγειρας,3
8,Niko,Zulauf,452.590.5435,04/05/2003,8,βοηθός αρχιμάγειρα,10
9,Maryjane,Balistreri,065-915-1043,19/11/1983,4,Β΄ μάγειρας,40
10,Eleanora,Larson,621-890-9547x2736,09/07/1975,1,Β΄ μάγειρας,26
11,Tate,Funk,636-444-3618x39880,17/02/2004,9,βοηθός αρχιμάγειρα,13
12,Edythe,King,084-837-5564x9721,12/05/1983,6,αρχιμάγειρας,44
13,Dora,Streich,532-431-9929,19/07/1976,6,Γ΄ μάγειρας,39
14,Guadalupe,Mante,706-933-8191,21/10/1977,13,Α΄ μάγειρας,47
15,Lura,Kozey,534.525.6709x914,29/12/1970,12,Γ΄ μάγειρας,68
16,Macie,Carroll,(772)712-4387x514,09/09/1974,15,αρχιμάγειρας,58
17,Elenor,Jacobi,(394)583-4650,04/08/1974,12,Α΄ μάγειρας,66
18,Adelle,O'Reilly,(041)640-0494x6862,09/06/1995,2,Β΄ μάγειρας,35
19,Jed,Ruecker,2944738260,08/06/1973,12,Β΄ μάγειρας,19
20,Sadie,Williamson,156.965.8078x92871,28/07/1991,3,βοηθός αρχιμάγειρα,42
21,Jerel,Grady,(980)486-1641,15/10/2003,7,Β΄ μάγειρας,37
22,Tina,Jacobs,1-991-540-7082x7581,13/06/1970,5,Γ΄ μάγειρας,28
23,Margret,Koelpin,262.873.3053x546,13/11/1972,6,Α΄ μάγειρας,18
24,Eveline,Hudson,802.493.7367x7330,07/04/1976,1,Γ΄ μάγειρας,53
